n_estimators,min_samples_split,n_jobs,max_depth,spa,bias,var,loss
3,1,0,3,2,0.3474814814814814,6.3319615912209085e-06,0.12074971193415632
0,2,0,1,0,0.3474814814814815,2.9665294924554496e-05,0.12077304526748973
2,2,0,2,2,0.34751851851851845,2.0776406035665294e-05,0.12078989711934152
4,2,0,3,2,0.34751851851851856,2.5934156378600644e-05,0.12079505486968452
0,2,0,2,0,0.34770370370370374,1.2079561042523961e-05,0.12090994513031553
3,0,0,2,2,0.34770370370370374,2.3492455418381288e-05,0.12092135802469138
2,4,0,2,1,0.3477407407407408,3.20219478737995e-05,0.1209556447187929
3,2,0,2,2,0.34777777777777774,1.91906721536351e-05,0.120968573388203
0,3,0,3,0,0.34777777777777774,2.1522633744856084e-05,0.12097090534979421
2,1,0,2,1,0.3478148148148149,1.6480109739368788e-05,0.12099162551440336
