kernel,gamma,C,spa,bias,var,loss
1,2,0,3,0.3595555555555555,3.6021947873799686e-06,0.12928379972565154
1,0,0,1,0.3596666666666666,2.6658436213991884e-05,0.12938676954732503
1,0,4,3,0.36003703703703693,7.810699588477236e-06,0.12963447873799716
1,1,1,3,0.3604074074074074,3.270233196159124e-06,0.1298967695473251
1,2,1,2,0.36062962962962963,2.8993141289437485e-05,0.13008272290809328
1,1,3,2,0.3607407407407408,2.925925925925951e-05,0.13016314128943762
1,1,0,3,0.36088888888888904,1.7750342935527842e-06,0.13024256515775046
1,0,0,0,0.3610740740740741,2.3530864197531024e-05,0.13039801783264748
1,0,3,3,0.36129629629629634,8.285322359396453e-06,0.13054329903978054
1,0,2,3,0.36185185185185187,5.76131687242809e-06,0.130942524005487
1,1,2,2,0.3634074074074075,1.5961591220850507e-05,0.13208090534979433
1,2,0,2,0.3634074074074074,2.1462277091906747e-05,0.1320864060356653
0,1,3,0,0.3635925925925926,4.809327846364949e-06,0.13220438271604937
0,2,0,0,0.3636296296296295,4.946502057613225e-06,0.13223145404663916
0,3,0,2,0.3637407407407407,2.1775034293552916e-05,0.13232910150891627
0,2,3,2,0.3637407407407407,2.1775034293552916e-05,0.13232910150891627
0,3,4,2,0.3648148148148148,3.002743484224974e-05,0.1331198765432099
1,0,1,3,0.365,6.076817558299135e-06,0.13323107681755827
1,3,4,4,0.3651481481481482,1.1212620027434795e-05,0.13334438271604943
1,3,3,4,0.36537037037037035,7.887517146776542e-06,0.13350339506172837
1,3,4,2,0.36562962962962964,2.412345679012346e-05,0.13370914951989027
1,2,4,4,0.36692592592592577,2.4342935528120627e-05,0.13465897805212607
1,3,2,4,0.367,1.7097393689986348e-05,0.13470609739369
0,3,3,3,0.3678148148148148,1.864746227709179e-05,0.1353063854595336
0,3,0,1,0.3678148148148148,5.711111111111147e-05,0.13534484910836764
0,2,3,1,0.3678148148148148,5.711111111111147e-05,0.13534484910836764
1,0,4,2,0.367925925925926,1.7838134430726873e-05,0.1353873251028807
1,1,1,2,0.36796296296296294,2.5555555555555368e-05,0.1354222976680384
0,3,4,4,0.36877777777777787,9.253772290809326e-06,0.13600630315500692
1,3,1,4,0.3705925925925927,3.0183813443072556e-05,0.13736905349794248
0,3,3,4,0.3709259259259259,1.4375857338820187e-05,0.13760041838134426
1,1,0,2,0.37144444444444447,2.0197530864197382e-05,0.13799117283950618
0,1,2,0,0.3714814814814815,1.6831275720164618e-05,0.13801532235939645
1,2,3,4,0.37211111111111106,4.331412894375856e-05,0.1385099931412894
1,0,3,2,0.3723333333333334,2.867764060356674e-05,0.13866078875171475
0,2,2,2,0.3723333333333334,3.058436213991765e-05,0.1386626954732511
0,1,4,2,0.3724074074074074,3.049382716049379e-05,0.13871777091906723
1,3,0,4,0.3724814814814815,4.142112482853233e-05,0.13878387517146779
1,1,4,4,0.37255555555555553,4.623319615912231e-05,0.13884387517146773
0,3,2,4,0.37355555555555564,5.776954732510268e-05,0.13960152263374492
0,2,4,4,0.37355555555555564,5.776954732510268e-05,0.13960152263374492
1,0,2,2,0.3744074074074074,2.7742112482853286e-05,0.1402086488340192
1,2,2,4,0.3744444444444446,4.17421124828529e-05,0.14025038408779159
1,1,3,4,0.3758518518518519,6.162688614540439e-05,0.14132624142661182
1,2,1,4,0.376074074074074,6.331138545953373e-05,0.14149502057613164
1,0,1,2,0.3766666666666667,2.7709190672153625e-05,0.14190548696844996
0,3,4,0,0.37777777777777777,7.187928669410166e-06,0.14272323731138545
1,3,4,0,0.37777777777777777,7.969821673525407e-06,0.14272401920438957
0,3,1,4,0.3780000000000001,6.782441700960247e-05,0.1429518244170097
1,1,2,4,0.37870370370370365,5.386831275720186e-05,0.14347036351165976
1,2,0,4,0.37903703703703706,5.713854595336069e-05,0.14372621399176955
1,0,0,2,0.3798888888888887,2.3355281207133103e-05,0.1443389231824416
1,0,4,4,0.38148148148148153,2.647462277091899e-05,0.14555459533607684
